round,task_canon,model_mlc_canon,scope_status,rows
v0.5,AD,FC_AE,IN_SCOPE,4
v0.5,IC,RESNET,IN_SCOPE,4
v0.5,KWS,DS_CNN,IN_SCOPE,5
v0.5,UNKNOWN,UNKNOWN,UNKNOWN,1
v0.5,VWW,MBNET,IN_SCOPE,4
v0.7,AD,FC_AE,IN_SCOPE,12
v0.7,IC,RESNET,IN_SCOPE,11
v0.7,KWS,DS_CNN,IN_SCOPE,13
v0.7,UNKNOWN,UNKNOWN,UNKNOWN,12
v0.7,VWW,MBNET,IN_SCOPE,11
v1.0,AD,FC_AE,IN_SCOPE,14
v1.0,IC,RESNET,IN_SCOPE,15
v1.0,KWS,DS_CNN,IN_SCOPE,15
v1.0,UNKNOWN,UNKNOWN,UNKNOWN,1
v1.0,VWW,MBNET,IN_SCOPE,15
v1.1,AD,FC_AE,IN_SCOPE,23
v1.1,IC,RESNET,IN_SCOPE,30
v1.1,KWS,DS_CNN,IN_SCOPE,30
v1.1,VWW,MBNET,IN_SCOPE,28
v1.2,AD,FC_AE,IN_SCOPE,22
v1.2,IC,RESNET,IN_SCOPE,20
v1.2,KWS,DS_CNN,IN_SCOPE,14
v1.2,VWW,MBNET,IN_SCOPE,17
v1.3,AD,FC_AE,IN_SCOPE,6
v1.3,IC,RESNET,IN_SCOPE,9
v1.3,KWS,DS_CNN,IN_SCOPE,9
v1.3,OUT_OF_SCOPE,1D_DS_CNN,OUT_OF_SCOPE,9
v1.3,VWW,MBNET,IN_SCOPE,10
