round,task,cluster_id,cluster_class,cluster_rank,rows,latency_us_median,energy_uj_median,latency_us_n,energy_uj_n,low_n_energy
v0.5,AD,1,C3,3,3,192.092,,3,0,True
v0.5,AD,3,C5,5,1,10400.0,416.312,1,1,True
v0.5,IC,1,C3,3,3,1312.35,,3,0,True
v0.5,IC,3,C5,5,1,704225.0,29207.0,1,1,True
v0.5,KWS,0,C2,2,1,5950.0,,1,0,True
v0.5,KWS,1,C3,3,3,421.47,,3,0,True
v0.5,KWS,3,C5,5,1,181917.0,7373.7,1,1,True
v0.5,VWW,1,C3,3,3,3745.4700000000003,,3,0,True
v0.5,VWW,3,C5,5,1,603136.0,24320.8,1,1,True
v0.7,AD,0,C2,2,4,8770.0,45.722,4,1,True
v0.7,AD,1,C3,3,1,8553.73,437.442,1,1,True
v0.7,AD,3,C5,5,7,5728.0,336.55899999999997,7,4,True
v0.7,IC,0,C2,2,3,239980.0,2248.02,3,1,True
v0.7,IC,1,C3,3,1,289352.0,14350.9,1,1,True
v0.7,IC,3,C5,5,7,184600.0,11749.25,7,4,True
v0.7,KWS,0,C2,2,5,63090.0,49.587,5,3,True
v0.7,KWS,1,C3,3,1,81846.5,4422.68,1,1,True
v0.7,KWS,3,C5,5,7,54812.0,3755.075,7,4,True
v0.7,VWW,0,C2,2,3,225580.0,1721.77,3,1,True
v0.7,VWW,1,C3,3,1,248509.0,13316.4,1,1,True
v0.7,VWW,3,C5,5,7,162364.0,11169.75,7,4,True
v1.0,AD,0,C2,2,4,223.5,7.294,4,3,True
v1.0,AD,3,C5,5,10,5935.0,322.977,10,5,False
v1.0,IC,0,C2,2,5,5120.0,101.83,5,5,False
v1.0,IC,3,C5,5,10,183150.0,10681.6,10,5,False
v1.0,KWS,0,C2,2,5,1480.0,31.54,5,5,False
v1.0,KWS,3,C5,5,10,66550.0,3371.74,10,5,False
v1.0,VWW,0,C2,2,5,4100.0,71.71,5,5,False
v1.0,VWW,3,C5,5,10,200550.0,10066.6,10,5,False
v1.1,AD,5,C4,4,8,1754.405,228.50850000000003,8,2,True
v1.1,AD,2,C6,6,15,6857.35,372.118,15,6,False
v1.1,IC,4,C1,1,3,411.28,,3,0,True
v1.1,IC,0,C2,2,2,10537.5,120.6,2,2,True
v1.1,IC,5,C4,4,8,54369.350000000006,7615.4,8,3,True
v1.1,IC,2,C6,6,17,226900.0,13805.8,17,6,False
v1.1,KWS,4,C1,1,3,2151.05,,3,0,True
v1.1,KWS,0,C2,2,2,2933.58,37.6695,2,2,True
v1.1,KWS,5,C4,4,8,16562.9,2362.1,8,3,True
v1.1,KWS,2,C6,6,17,74700.0,4101.375,17,6,False
v1.1,VWW,4,C1,1,2,5103.4490000000005,,2,0,True
v1.1,VWW,0,C2,2,3,4100.0,84.4375,3,2,True
v1.1,VWW,5,C4,4,8,46980.0,6928.3,8,3,True
v1.1,VWW,2,C6,6,15,180730.0,8945.21,15,6,False
v1.2,AD,0,C2,2,1,70.0,,1,0,True
v1.2,AD,1,C3,3,18,4830.0,,18,0,True
v1.2,AD,5,C4,4,1,1230.0,165.73,1,1,True
v1.2,AD,2,C6,6,2,4345.0,142.625,2,2,True
v1.2,IC,0,C2,2,3,5120.0,120.6,3,2,True
v1.2,IC,1,C3,3,13,124220.0,,13,0,True
v1.2,IC,5,C4,4,2,74420.0,5090.28,2,1,True
v1.2,IC,2,C6,6,2,138100.0,4749.175,2,2,True
v1.2,KWS,0,C2,2,3,1480.0,37.67,3,2,True
v1.2,KWS,1,C3,3,8,46365.0,,8,0,True
v1.2,KWS,5,C4,4,1,11320.0,1375.6,1,1,True
v1.2,KWS,2,C6,6,2,36125.0,1238.305,2,2,True
v1.2,VWW,0,C2,2,4,2195.0,84.435,4,2,True
v1.2,VWW,1,C3,3,9,119830.0,,9,0,True
v1.2,VWW,5,C4,4,2,72040.0,2965.46,2,1,True
v1.2,VWW,2,C6,6,2,74105.0,2624.63,2,2,True
v1.3,AD,0,C2,2,1,68.3762,,1,0,True
v1.3,AD,1,C3,3,2,526.6595,,2,0,True
v1.3,AD,2,C6,6,3,4793.68,77.2364,3,3,True
v1.3,IC,0,C2,2,4,10548.475,120.6,4,2,True
v1.3,IC,1,C3,3,2,1630.0205,,2,0,True
v1.3,IC,2,C6,6,3,165673.0,2565.24,3,3,True
v1.3,KWS,0,C2,2,4,2924.295,37.6695,4,2,True
v1.3,KWS,1,C3,3,2,985.2995000000001,,2,0,True
v1.3,KWS,2,C6,6,3,43417.9,664.424,3,3,True
v1.3,VWW,0,C2,2,5,4100.33,84.4375,5,2,True
v1.3,VWW,1,C3,3,2,3315.77,,2,0,True
v1.3,VWW,2,C6,6,3,89437.4,1372.17,3,3,True
