system_id,accelerator_present,processor_family,cpu_freq_bucket,cluster_kmeans,cluster_kmodes,labels_agree
0.5-464,False,Cortex-M,UNKNOWN,3,0,False
0.5-465,False,OTHER,UNKNOWN,1,4,False
0.5-466,False,OTHER,UNKNOWN,1,4,False
0.5-467,False,OTHER,UNKNOWN,1,4,False
0.5-468,True,Cortex-M,UNKNOWN,0,0,True
0.7-2001,True,OTHER,UNKNOWN,0,3,False
0.7-2002,True,OTHER,UNKNOWN,0,3,False
0.7-2003,True,OTHER,UNKNOWN,0,3,False
0.7-2004,False,Cortex-M,UNKNOWN,3,0,False
0.7-2005,False,Cortex-M,UNKNOWN,3,0,False
0.7-2006,False,Cortex-M,UNKNOWN,3,0,False
0.7-2007,False,Cortex-M,UNKNOWN,3,0,False
0.7-2008,False,OTHER,UNKNOWN,1,4,False
0.7-2009,False,Cortex-M,UNKNOWN,3,0,False
0.7-2010,False,Cortex-M,UNKNOWN,3,0,False
0.7-2011,False,Cortex-M,UNKNOWN,3,0,False
0.7-2012,True,OTHER,UNKNOWN,0,3,False
0.7-2013,True,OTHER,UNKNOWN,0,3,False
0.7-2014,True,Cortex-M,UNKNOWN,0,0,True
1.0-9001,True,RISC-V,UNKNOWN,0,2,False
1.0-9002,True,RISC-V,UNKNOWN,0,2,False
1.0-9003,False,Cortex-M,UNKNOWN,3,0,False
1.0-9004,False,Cortex-M,UNKNOWN,3,0,False
1.0-9005,False,Cortex-M,UNKNOWN,3,0,False
1.0-9006,False,Cortex-M,UNKNOWN,3,0,False
1.0-9007,False,Cortex-M,UNKNOWN,3,0,False
1.0-9008,False,Cortex-M,UNKNOWN,3,0,False
1.0-9009,False,Cortex-M,UNKNOWN,3,0,False
1.0-9010,True,Cortex-M,UNKNOWN,0,0,True
1.0-9011,False,Cortex-M,UNKNOWN,3,0,False
1.0-9012,False,Cortex-M,UNKNOWN,3,0,False
1.0-9013,False,Cortex-M,UNKNOWN,3,0,False
1.0-9014,True,OTHER,UNKNOWN,0,3,False
1.0-9015,True,OTHER,UNKNOWN,0,3,False
1.0-9016,True,OTHER,UNKNOWN,0,3,False
1.1-0001,False,Cortex-M,200-399,5,1,False
1.1-0002,False,Cortex-M,100-199,2,5,False
1.1-0003,False,Cortex-M,100-199,2,5,False
1.1-0004,False,Cortex-M,200-399,5,1,False
1.1-0005,False,Cortex-M,200-399,5,1,False
1.1-0006,False,Cortex-M,100-199,2,5,False
1.1-0007,False,Cortex-M,100-199,2,5,False
1.1-0008,False,Cortex-M,100-199,2,5,False
1.1-0009,False,Cortex-M,100-199,2,5,False
1.1-0010,True,Cortex-A,>=400,4,2,False
1.1-0011,True,Cortex-A,>=400,4,2,False
1.1-0012,True,Cortex-A,>=400,4,2,False
1.1-0013,True,Cortex-A,>=400,4,2,False
1.1-0014,False,Cortex-M,100-199,2,5,False
1.1-0015,False,Cortex-M,200-399,5,1,False
1.1-0016,False,Cortex-M,100-199,2,5,False
1.1-0017,False,Cortex-M,200-399,5,1,False
1.1-0018,False,Cortex-M,100-199,2,5,False
1.1-0019,True,OTHER,<100,0,3,False
1.1-0020,False,Cortex-M,200-399,5,1,False
1.1-0021,False,Cortex-M,<100,2,0,False
1.1-0022,False,Cortex-M,200-399,5,1,False
1.1-0023,False,Cortex-M,100-199,2,5,False
1.1-0024,False,Cortex-M,100-199,2,5,False
1.1-0025,True,RISC-V,<100,0,2,False
1.2-0001,False,OTHER,100-199,1,4,False
1.2-0002,False,OTHER,200-399,1,1,True
1.2-0003,False,OTHER,<100,1,4,False
1.2-0004,False,OTHER,200-399,1,1,True
1.2-0005,False,OTHER,100-199,1,4,False
1.2-0006,False,OTHER,100-199,1,4,False
1.2-0007,False,OTHER,200-399,1,1,True
1.2-0008,True,OTHER,>=400,0,2,False
1.2-0009,False,OTHER,>=400,1,4,False
1.2-0010,False,RISC-V,>=400,1,2,False
1.2-0011,False,Cortex-M,200-399,5,1,False
1.2-0012,False,Cortex-M,100-199,2,5,False
1.2-0013,False,Cortex-M,100-199,2,5,False
1.2-0014,True,OTHER,<100,0,3,False
1.2-0015,False,RISC-V,200-399,5,1,False
1.2-0016,True,RISC-V,<100,0,2,False
1.3-0002,False,Cortex-M,100-199,2,5,False
1.3-0003,False,Cortex-M,<100,2,0,False
1.3-0004,False,Cortex-M,100-199,2,5,False
1.3-0005,True,OTHER,<100,0,3,False
1.3-0006,True,OTHER,UNKNOWN,0,3,False
1.3-0007,True,Cortex-M,<100,0,0,True
1.3-0008,False,RISC-V,>=400,1,2,False
1.3-0009,False,RISC-V,>=400,1,2,False
1.3-0010,True,RISC-V,<100,0,2,False
