system_id,accelerator_present,processor_family,cpu_freq_bucket,systems_rows,cluster_kmodes
0.5-464,False,Cortex-M,UNKNOWN,4,0
0.5-465,False,OTHER,UNKNOWN,4,5
0.5-466,False,OTHER,UNKNOWN,4,5
0.5-467,False,OTHER,UNKNOWN,4,5
0.5-468,True,Cortex-M,UNKNOWN,1,0
0.7-2001,True,OTHER,UNKNOWN,4,3
0.7-2002,True,OTHER,UNKNOWN,4,3
0.7-2003,True,OTHER,UNKNOWN,1,3
0.7-2004,False,Cortex-M,UNKNOWN,4,0
0.7-2005,False,Cortex-M,UNKNOWN,4,0
0.7-2006,False,Cortex-M,UNKNOWN,4,0
0.7-2007,False,Cortex-M,UNKNOWN,4,0
0.7-2008,False,OTHER,UNKNOWN,4,5
0.7-2009,False,Cortex-M,UNKNOWN,4,0
0.7-2010,False,Cortex-M,UNKNOWN,4,0
0.7-2011,False,Cortex-M,UNKNOWN,4,0
0.7-2012,True,OTHER,UNKNOWN,1,3
0.7-2013,True,OTHER,UNKNOWN,1,3
0.7-2014,True,Cortex-M,UNKNOWN,4,0
1.0-9001,True,RISC-V,UNKNOWN,4,2
1.0-9002,True,RISC-V,UNKNOWN,4,2
1.0-9003,False,Cortex-M,UNKNOWN,4,0
1.0-9004,False,Cortex-M,UNKNOWN,4,0
1.0-9005,False,Cortex-M,UNKNOWN,4,0
1.0-9006,False,Cortex-M,UNKNOWN,4,0
1.0-9007,False,Cortex-M,UNKNOWN,4,0
1.0-9008,False,Cortex-M,UNKNOWN,4,0
1.0-9009,False,Cortex-M,UNKNOWN,4,0
1.0-9010,True,Cortex-M,UNKNOWN,4,0
1.0-9011,False,Cortex-M,UNKNOWN,4,0
1.0-9012,False,Cortex-M,UNKNOWN,4,0
1.0-9013,False,Cortex-M,UNKNOWN,4,0
1.0-9014,True,OTHER,UNKNOWN,3,3
1.0-9015,True,OTHER,UNKNOWN,3,3
1.0-9016,True,OTHER,UNKNOWN,1,3
1.1-0001,False,Cortex-M,200-399,8,1
1.1-0002,False,Cortex-M,100-199,16,4
1.1-0003,False,Cortex-M,100-199,4,4
1.1-0004,False,Cortex-M,200-399,4,1
1.1-0005,False,Cortex-M,200-399,4,1
1.1-0006,False,Cortex-M,100-199,4,4
1.1-0007,False,Cortex-M,100-199,4,4
1.1-0008,False,Cortex-M,100-199,8,4
1.1-0009,False,Cortex-M,100-199,4,4
1.1-0010,True,Cortex-A,>=400,1,2
1.1-0011,True,Cortex-A,>=400,2,2
1.1-0012,True,Cortex-A,>=400,3,2
1.1-0013,True,Cortex-A,>=400,2,2
1.1-0014,False,Cortex-M,100-199,4,4
1.1-0015,False,Cortex-M,200-399,4,1
1.1-0016,False,Cortex-M,100-199,4,4
1.1-0017,False,Cortex-M,200-399,4,1
1.1-0018,False,Cortex-M,100-199,4,4
1.1-0019,True,OTHER,<100,6,3
1.1-0020,False,Cortex-M,200-399,4,1
1.1-0021,False,Cortex-M,<100,4,0
1.1-0022,False,Cortex-M,200-399,4,1
1.1-0023,False,Cortex-M,100-199,4,4
1.1-0024,False,Cortex-M,100-199,4,4
1.1-0025,True,RISC-V,<100,1,2
1.2-0001,False,OTHER,100-199,8,4
1.2-0002,False,OTHER,200-399,5,1
1.2-0003,False,OTHER,<100,4,5
1.2-0004,False,OTHER,200-399,9,1
1.2-0005,False,OTHER,100-199,5,4
1.2-0006,False,OTHER,100-199,5,4
1.2-0007,False,OTHER,200-399,6,1
1.2-0008,True,OTHER,>=400,4,2
1.2-0009,False,OTHER,>=400,4,5
1.2-0010,False,RISC-V,>=400,2,2
1.2-0011,False,Cortex-M,200-399,4,1
1.2-0012,False,Cortex-M,100-199,4,4
1.2-0013,False,Cortex-M,100-199,4,4
1.2-0014,True,OTHER,<100,6,3
1.2-0015,False,RISC-V,200-399,2,1
1.2-0016,True,RISC-V,<100,1,2
1.3-0002,False,Cortex-M,100-199,4,4
1.3-0003,False,Cortex-M,<100,4,0
1.3-0004,False,Cortex-M,100-199,4,4
1.3-0005,True,OTHER,<100,6,3
1.3-0006,True,OTHER,UNKNOWN,4,3
1.3-0007,True,Cortex-M,<100,3,0
1.3-0008,False,RISC-V,>=400,4,2
1.3-0009,False,RISC-V,>=400,4,2
1.3-0010,True,RISC-V,<100,1,2
