round,task,cluster_id,cluster_class,cluster_rank,rows_with_both,pareto_points,share_pareto,low_n_energy
v0.5,AD,3,C5,5,1,1,1.0,True
v0.5,IC,3,C5,5,1,1,1.0,True
v0.5,KWS,3,C5,5,1,1,1.0,True
v0.5,VWW,3,C5,5,1,1,1.0,True
v0.7,AD,0,C2,2,1,1,1.0,True
v0.7,AD,1,C3,3,1,0,0.0,True
v0.7,AD,3,C5,5,4,2,0.5,True
v0.7,IC,0,C2,2,1,1,1.0,True
v0.7,IC,1,C3,3,1,0,0.0,True
v0.7,IC,3,C5,5,4,2,0.5,True
v0.7,KWS,0,C2,2,3,2,0.6666666666666666,True
v0.7,KWS,1,C3,3,1,0,0.0,True
v0.7,KWS,3,C5,5,4,0,0.0,True
v0.7,VWW,0,C2,2,1,1,1.0,True
v0.7,VWW,1,C3,3,1,0,0.0,True
v0.7,VWW,3,C5,5,4,2,0.5,True
v1.0,AD,0,C2,2,3,2,0.6666666666666666,True
v1.0,AD,3,C5,5,5,0,0.0,False
v1.0,IC,0,C2,2,5,2,0.4,False
v1.0,IC,3,C5,5,5,0,0.0,False
v1.0,KWS,0,C2,2,5,2,0.4,False
v1.0,KWS,3,C5,5,5,0,0.0,False
v1.0,VWW,0,C2,2,5,2,0.4,False
v1.0,VWW,3,C5,5,5,0,0.0,False
v1.1,AD,5,C4,4,2,2,1.0,True
v1.1,AD,2,C6,6,6,1,0.16666666666666666,False
v1.1,IC,0,C2,2,2,2,1.0,True
v1.1,IC,5,C4,4,3,0,0.0,True
v1.1,IC,2,C6,6,6,0,0.0,False
v1.1,KWS,0,C2,2,2,2,1.0,True
v1.1,KWS,5,C4,4,3,0,0.0,True
v1.1,KWS,2,C6,6,6,0,0.0,False
v1.1,VWW,0,C2,2,2,2,1.0,True
v1.1,VWW,5,C4,4,3,0,0.0,True
v1.1,VWW,2,C6,6,6,0,0.0,False
v1.2,AD,5,C4,4,1,1,1.0,True
v1.2,AD,2,C6,6,2,1,0.5,True
v1.2,IC,0,C2,2,2,2,1.0,True
v1.2,IC,5,C4,4,1,0,0.0,True
v1.2,IC,2,C6,6,2,0,0.0,True
v1.2,KWS,0,C2,2,2,2,1.0,True
v1.2,KWS,5,C4,4,1,0,0.0,True
v1.2,KWS,2,C6,6,2,0,0.0,True
v1.2,VWW,0,C2,2,2,2,1.0,True
v1.2,VWW,5,C4,4,1,0,0.0,True
v1.2,VWW,2,C6,6,2,0,0.0,True
v1.3,AD,2,C6,6,3,2,0.6666666666666666,True
v1.3,IC,0,C2,2,2,2,1.0,True
v1.3,IC,2,C6,6,3,0,0.0,True
v1.3,KWS,0,C2,2,2,2,1.0,True
v1.3,KWS,2,C6,6,3,0,0.0,True
v1.3,VWW,0,C2,2,2,2,1.0,True
v1.3,VWW,2,C6,6,3,0,0.0,True
