round,task,accelerator_present,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,False,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,False,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,False,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,False,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,False,5,349.03,221.1712,324.088,431.21,434.9492,152.56,437.442,107.12199999999996,False
v0.7,AD,True,1,45.722,45.722,45.722,45.722,45.722,45.722,45.722,0.0,True
v0.7,IC,False,5,12298.3,6970.758000000001,11200.2,14350.9,16374.64,4151.13,17723.8,3150.699999999999,False
v0.7,IC,True,1,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,0.0,True
v0.7,KWS,False,5,3796.96,2374.7160000000003,3713.19,4422.68,4550.4800000000005,1482.4,4635.68,709.4900000000002,False
v0.7,KWS,True,3,49.587,38.1462,42.4365,330.54,499.1118000000001,35.286,611.493,288.1035,True
v0.7,VWW,False,5,11851.8,6613.662,10487.7,12293.3,12907.16,4030.97,13316.4,1805.5999999999985,False
v0.7,VWW,True,1,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,0.0,True
v1.0,AD,False,5,322.977,178.0622,266.486,443.184,557.514,119.113,633.734,176.69800000000004,False
v1.0,AD,True,3,7.294,5.6604,6.273,27.296499999999998,39.298,5.252,47.299,21.0235,True
v1.0,IC,False,5,10681.6,5668.112,8707.28,20236.3,20899.899999999998,3642.0,21342.3,11529.019999999999,False
v1.0,IC,True,5,101.83,32.769,40.356,139.37,796.5380000000001,27.711,1234.65,99.01400000000001,False
v1.0,KWS,False,5,3371.74,1771.8300000000002,2721.78,5230.27,6862.414000000001,1138.53,7950.51,2508.4900000000002,False
v1.0,KWS,True,5,31.54,21.8002,26.659,43.8,258.63660000000004,18.561,401.861,17.141,False
v1.0,VWW,False,5,10066.6,5210.064,7978.47,15531.4,16491.52,3364.46,17131.6,7552.929999999999,False
v1.0,VWW,True,5,71.71,47.823,58.356,97.16,722.3960000000002,40.801,1139.22,38.803999999999995,False
v1.1,AD,False,8,314.224,191.28570000000002,232.15425000000002,439.5,529.02,121.446,529.3,207.34574999999998,False
v1.1,IC,False,9,8471.1,5725.316,7019.09,14927.3,17403.16,3383.82,17755.4,7908.209999999999,False
v1.1,IC,True,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.1,KWS,False,9,2833.14,1696.3480000000002,2362.1,4747.9,5510.780000000001,1004.22,5627.5,2385.7999999999997,False
v1.1,KWS,True,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.1,VWW,False,9,7477.62,3343.608,5618.28,10412.8,16543.66,1920.64,16573.1,4794.5199999999995,False
v1.1,VWW,True,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
v1.2,AD,False,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True
v1.2,IC,False,3,5090.28,3081.232,3834.625,6004.83,6553.56,2578.97,6919.38,2170.205,True
v1.2,IC,True,2,120.6,105.584,111.215,129.985,135.616,101.83,139.37,18.77000000000001,True
v1.2,KWS,False,3,1375.6,800.048,1015.8799999999999,1598.025,1731.48,656.16,1820.45,582.1450000000002,True
v1.2,KWS,True,2,37.67,32.766,34.605,40.735,42.574,31.54,43.8,6.130000000000003,True
v1.2,VWW,False,3,2965.46,1676.844,2160.075,3430.0150000000003,3708.748,1354.69,3894.57,1269.9400000000005,True
v1.2,VWW,True,2,84.435,74.255,78.07249999999999,90.7975,94.615,71.71,97.16,12.725000000000009,True
v1.3,AD,False,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True
v1.3,IC,False,3,2565.24,1285.5136,1765.4109999999998,4030.575,4909.776,965.582,5495.91,2265.1639999999998,True
v1.3,IC,True,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.3,KWS,False,3,664.424,329.1576,454.8825,1047.547,1277.4208,245.341,1430.67,592.6645000000001,True
v1.3,KWS,True,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.3,VWW,False,3,1372.17,689.6148000000001,945.5730000000001,2200.96,2698.234,518.976,3029.75,1255.387,True
v1.3,VWW,True,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
