round,task,software_stack,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,OTHER,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,OTHER,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,OTHER,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,OTHER,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,CMSIS,1,45.722,45.722,45.722,45.722,45.722,45.722,45.722,0.0,True
v0.7,AD,OTHER,5,349.03,221.1712,324.088,431.21,434.9492,152.56,437.442,107.12199999999996,False
v0.7,IC,CMSIS,1,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,0.0,True
v0.7,IC,OTHER,5,12298.3,6970.758000000001,11200.2,14350.9,16374.64,4151.13,17723.8,3150.699999999999,False
v0.7,KWS,CMSIS,1,611.493,611.493,611.493,611.493,611.493,611.493,611.493,0.0,True
v0.7,KWS,OTHER,7,3713.19,43.866600000000005,765.9935,4109.82,4507.88,35.286,4635.68,3343.8264999999997,False
v0.7,VWW,CMSIS,1,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,0.0,True
v0.7,VWW,OTHER,5,11851.8,6613.662,10487.7,12293.3,12907.16,4030.97,13316.4,1805.5999999999985,False
v1.0,AD,CMSIS,2,245.2415,86.88750000000002,146.27025,344.21275,403.5955,47.299,443.184,197.94250000000002,True
v1.0,AD,OTHER,5,119.113,6.0687999999999995,7.294,266.486,300.38059999999996,5.252,322.977,259.192,False
v1.0,AD,TVM,1,633.734,633.734,633.734,633.734,633.734,633.734,633.734,0.0,True
v1.0,IC,CMSIS,2,10735.475,3134.815,5985.0625,15485.8875,18336.135,1234.65,20236.3,9500.825,True
v1.0,IC,OTHER,7,139.37,35.298,71.093,6174.64,9497.008000000002,27.711,10681.6,6103.5470000000005,False
v1.0,IC,TVM,1,21342.3,21342.3,21342.3,21342.3,21342.3,21342.3,21342.3,0.0,True
v1.0,KWS,CMSIS,2,2816.0655,884.7019,1608.9632500000002,4023.1677500000005,4747.4291,401.861,5230.27,2414.2045000000003,True
v1.0,KWS,OTHER,7,43.8,23.4198,29.0995,1930.1550000000002,2981.764,18.561,3371.74,1901.0555000000002,False
v1.0,KWS,TVM,1,7950.51,7950.51,7950.51,7950.51,7950.51,7950.51,7950.51,0.0,True
v1.0,VWW,CMSIS,2,8335.31,2578.438,4737.265,11933.355,14092.182,1139.22,15531.4,7196.089999999999,True
v1.0,VWW,OTHER,7,97.16,51.334,65.033,5671.465,8813.722000000002,40.801,10066.6,5606.432,False
v1.0,VWW,TVM,1,17131.6,17131.6,17131.6,17131.6,17131.6,17131.6,17131.6,0.0,True
v1.1,AD,OTHER,6,264.856,171.3315,224.86275,324.38,372.118,121.446,409.7,99.51724999999999,False
v1.1,AD,UNKNOWN,2,529.0999999999999,528.9399999999999,529.0,529.1999999999999,529.26,528.9,529.3,0.1999999999999318,True
v1.1,IC,OTHER,9,7019.09,131.8602,3383.82,8471.1,13132.9,101.833,14927.3,5087.280000000001,False
v1.1,IC,UNKNOWN,2,17535.25,17359.129999999997,17425.175,17645.325,17711.370000000003,17315.1,17755.4,220.15000000000146,True
v1.1,KWS,OTHER,9,2362.1,41.349000000000004,1004.22,2833.14,3713.46,31.537,4747.9,1828.9199999999998,False
v1.1,KWS,UNKNOWN,2,5554.55,5496.1900000000005,5518.075000000001,5591.025,5612.91,5481.6,5627.5,72.94999999999891,True
v1.1,VWW,OTHER,9,5618.28,92.0734,1920.64,7477.62,8331.12,71.711,10412.8,5556.98,False
v1.1,VWW,UNKNOWN,2,16554.699999999997,16539.98,16545.5,16563.899999999998,16569.42,16536.3,16573.1,18.399999999997817,True
v1.2,AD,OTHER,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True
v1.2,IC,OTHER,5,2578.97,116.846,139.37,5090.28,6187.74,101.83,6919.38,4950.91,False
v1.2,KWS,OTHER,5,656.16,36.444,43.8,1375.6,1642.51,31.54,1820.45,1331.8,False
v1.2,VWW,OTHER,5,1354.69,81.89,97.16,2965.46,3522.9260000000004,71.71,3894.57,2868.3,False
v1.3,AD,OTHER,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True
v1.3,IC,OTHER,5,965.582,116.8466,139.367,2565.24,4323.642,101.833,5495.91,2425.8729999999996,False
v1.3,KWS,OTHER,5,245.341,36.443,43.802,664.424,1124.1716000000001,31.537,1430.67,620.622,False
v1.3,VWW,OTHER,5,518.976,81.8922,97.164,1372.17,2366.7180000000003,71.711,3029.75,1275.006,False
