round,task,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n,baseline_round,baseline_n,baseline_median,latency_us_median_index,latency_us_q25_index,latency_us_q75_index,latency_us_q10_index,latency_us_q90_index,pre_baseline
v0.5,AD,4,5296.046,175.61190000000002,186.20625,11212.5,12675.0,168.549,13650.0,11026.29375,True,v0.7,12,5814.0,,,,,,True
v0.5,IC,4,352768.675,1143.748,1252.135,837958.75,1078679.5,1071.49,1239160.0,836706.615,True,v0.7,11,227690.0,,,,,,True
v0.5,KWS,5,5950.0,404.526,421.47,181917.0,268144.8,393.23,325630.0,181495.53,False,v0.7,13,63090.0,,,,,,True
v0.5,VWW,4,303440.735,2943.151,3458.9275000000002,664037.0,773658.8,2599.2999999999997,846740.0,660578.0725,True,v0.7,11,200000.0,,,,,,True
v0.7,AD,12,5814.0,2569.0,4482.355,8831.5475,11883.5,2281.0,16800.0,4349.192500000001,False,v0.7,12,5814.0,1.0,0.7709588923288613,1.519014017887857,0.44186446508427935,2.0439456484348124,False
v0.7,IC,11,227690.0,70363.0,171363.5,249482.0,289352.0,65099.99999999999,304690.0,78118.5,False,v0.7,11,227690.0,1.0,0.7526175940972375,1.0957090781325487,0.30902982124818834,1.2708155825903642,False
v0.7,KWS,13,63090.0,7340.000000000003,22290.0,73500.0,81447.2,1800.0,97646.0,51210.0,False,v0.7,13,63090.0,1.0,0.35330480266286257,1.1650023775558727,0.11634173403074977,1.2909684577587572,False
v0.7,VWW,11,200000.0,64370.00000000001,156997.0,237044.5,254647.0,59400.0,296380.0,80047.5,False,v0.7,11,200000.0,1.0,0.784985,1.1852225,0.32185,1.273235,False
v1.0,AD,14,5165.0,204.5,1940.0,6592.5,8291.000000000002,98.0,11700.0,4652.5,False,v0.7,12,5814.0,0.8883728930168558,0.33367733058135535,1.1339009287925697,0.03517371861025112,1.426040591675267,False
v1.0,IC,15,120930.0,2617.4000000000005,35155.0,210000.0,359960.0,616.0,389500.0,174845.0,False,v0.7,11,227690.0,0.5311168694277307,0.154398524309368,0.9223066449997804,0.011495454345821075,1.5809214282577189,False
v1.0,KWS,15,36280.0,1031.2,10565.0,73375.0,90319.99999999999,475.0,144000.0,62810.0,False,v0.7,13,63090.0,0.5750515137105722,0.16745918529085432,1.1630210809954034,0.016344904105246475,1.431605642732604,False
v1.0,VWW,15,111610.0,2679.8,31700.0,219540.0,273520.0,1125.0,336500.0,187840.0,False,v0.7,11,200000.0,0.55805,0.1585,1.0977,0.013399000000000001,1.3676,False
v1.1,AD,23,4849.87,1703.85,1823.21,7600.0,8498.498000000001,1347.71,46546.3,5776.79,False,v0.7,12,5814.0,0.834170966632267,0.31358961128310975,1.3071895424836601,0.2930598555211558,1.461729962160303,False
v1.1,IC,30,147981.0,4904.959000000001,52420.75,279175.0,389146.0,147.285,1669450.0,226754.25,False,v0.7,11,227690.0,0.6499231411129167,0.2302286002898678,1.2261188457991128,0.021542267995959423,1.7091044841670693,False
v1.1,KWS,30,42960.649999999994,4005.203000000001,15614.9,76040.775,104256.27000000006,323.846,679348.0,60425.87499999999,False,v0.7,13,63090.0,0.6809423046441591,0.24750198129656045,1.205274607703281,0.06348395942304645,1.6525007132667628,False
v1.1,VWW,28,85143.95,7870.613000000001,32966.975000000006,184997.5,253575.20000000004,370.0,1869160.0,152030.525,False,v0.7,11,200000.0,0.42571975,0.16483487500000002,0.9249875,0.039353065000000007,1.2678760000000002,False
v1.2,AD,22,4265.0,585.0,1375.0,5790.0,7314.000000000003,70.0,40890.0,4415.0,False,v0.7,12,5814.0,0.7335741314069487,0.23649810801513588,0.9958720330237358,0.10061919504643962,1.2579979360165123,False
v1.2,IC,20,109535.0,8144.0,38972.5,168982.5,257577.00000000035,150.0,1522070.0,130010.0,False,v0.7,11,227690.0,0.4810707540954807,0.17116474153454259,0.7421603935175018,0.035767930080372434,1.1312618033290893,False
v1.2,KWS,14,24010.0,2074.0,6107.5,51410.0,62603.0,90.0,474610.0,45302.5,False,v0.7,13,63090.0,0.3805674433349184,0.09680614994452369,0.8148676493897606,0.032873672531304486,0.9922808686004121,False
v1.2,VWW,17,59280.0,2576.0,13390.0,120280.0,252554.00000000006,190.0,1414430.0,106890.0,False,v0.7,11,200000.0,0.2964,0.06695,0.6014,0.01288,1.2627700000000004,False
v1.3,AD,6,1973.288,192.2896,421.43125000000003,4397.625,5101.72,68.3762,5409.76,3976.19375,False,v0.7,12,5814.0,0.3394028207774338,0.07248559511523908,0.7563854489164087,0.033073546611627105,0.8774888200894393,False
v1.3,IC,9,15975.0,800.9640400000001,2282.79,109493.0,169028.0,95.81620000000001,182448.0,107210.21,False,v0.7,11,227690.0,0.07016118406605472,0.010025868505424041,0.48088629276648076,0.003517783126180333,0.7423602266239185,False
v1.3,KWS,9,4367.16,474.1735,1394.1200000000001,28994.800000000003,44394.76,64.9515,48302.2,27600.680000000004,False,v0.7,13,63090.0,0.06922111269614836,0.022097321287050248,0.4595783800919322,0.007515826596925027,0.7036734823268347,False
v1.3,VWW,10,8585.53,206.02370000000002,2662.3925,53744.100000000006,90367.27999999998,114.248,98736.2,51081.707500000004,False,v0.7,11,200000.0,0.042927650000000005,0.0133119625,0.26872050000000003,0.0010301185000000002,0.4518363999999999,False
