round,task,rows_total,latency_us_n,energy_uj_n,latency_us_share,energy_uj_share
v0.5,AD,4,4,1,1.0,0.25
v0.5,IC,4,4,1,1.0,0.25
v0.5,KWS,5,5,1,1.0,0.2
v0.5,VWW,4,4,1,1.0,0.25
v0.7,AD,12,12,6,1.0,0.5
v0.7,IC,11,11,6,1.0,0.5454545454545454
v0.7,KWS,13,13,8,1.0,0.6153846153846154
v0.7,VWW,11,11,6,1.0,0.5454545454545454
v1.0,AD,14,14,8,1.0,0.5714285714285714
v1.0,IC,15,15,10,1.0,0.6666666666666666
v1.0,KWS,15,15,10,1.0,0.6666666666666666
v1.0,VWW,15,15,10,1.0,0.6666666666666666
v1.1,AD,23,23,8,1.0,0.34782608695652173
v1.1,IC,30,30,11,1.0,0.36666666666666664
v1.1,KWS,30,30,11,1.0,0.36666666666666664
v1.1,VWW,28,28,11,1.0,0.39285714285714285
v1.2,AD,22,22,3,1.0,0.13636363636363635
v1.2,IC,20,20,5,1.0,0.25
v1.2,KWS,14,14,5,1.0,0.35714285714285715
v1.2,VWW,17,17,5,1.0,0.29411764705882354
v1.3,AD,6,6,3,1.0,0.5
v1.3,IC,9,9,5,1.0,0.5555555555555556
v1.3,KWS,9,9,5,1.0,0.5555555555555556
v1.3,VWW,10,10,5,1.0,0.5
