round,task,best_factor,energy_uj_best_median,energy_uj_best_n,worst_factor,energy_uj_worst_median,energy_uj_worst_n,energy_uj_delta_worst_minus_best,energy_uj_ratio_worst_over_best
v0.5,AD,Cortex-M,416.312,1,Cortex-M,416.312,1,0.0,1.0
v0.5,IC,Cortex-M,29207.0,1,Cortex-M,29207.0,1,0.0,1.0
v0.5,KWS,Cortex-M,7373.7,1,Cortex-M,7373.7,1,0.0,1.0
v0.5,VWW,Cortex-M,24320.8,1,Cortex-M,24320.8,1,0.0,1.0
v0.7,AD,Cortex-M,324.088,5,OTHER,437.442,1,113.35399999999998,1.3497630273259114
v0.7,IC,Cortex-M,11200.2,5,OTHER,14350.9,1,3150.699999999999,1.2813074766522026
v0.7,KWS,OTHER,49.587,3,Cortex-M,3713.19,5,3663.603,74.88232802952386
v0.7,VWW,Cortex-M,10487.7,5,OTHER,13316.4,1,2828.699999999999,1.2697159529734832
v1.0,AD,RISC-V,6.273,2,Cortex-M,294.7315,6,288.45849999999996,46.98413837079547
v1.0,IC,RISC-V,34.033500000000004,2,Cortex-M,9694.44,6,9660.406500000001,284.84992727753536
v1.0,KWS,RISC-V,22.61,2,Cortex-M,3046.76,6,3024.15,134.7527642636002
v1.0,VWW,RISC-V,49.578500000000005,2,Cortex-M,9022.535,6,8972.9565,181.98483213489715
v1.1,AD,Cortex-M,314.224,8,Cortex-M,314.224,8,0.0,1.0
v1.1,IC,OTHER,120.6,2,Cortex-M,8471.1,9,8350.5,70.24129353233832
v1.1,KWS,OTHER,37.6695,2,Cortex-M,2833.14,9,2795.4705,75.21044877155258
v1.1,VWW,OTHER,84.4375,2,Cortex-M,7477.62,9,7393.1825,88.5580458919319
v1.2,AD,Cortex-M,165.73,3,Cortex-M,165.73,3,0.0,1.0
v1.2,IC,OTHER,120.6,2,Cortex-M,5090.28,3,4969.679999999999,42.20796019900497
v1.2,KWS,OTHER,37.67,2,Cortex-M,1375.6,3,1337.9299999999998,36.51712237855057
v1.2,VWW,OTHER,84.435,2,Cortex-M,2965.46,3,2881.025,35.12121750458933
v1.3,AD,Cortex-M,77.2364,3,Cortex-M,77.2364,3,0.0,1.0
v1.3,IC,OTHER,120.6,2,Cortex-M,2565.24,3,2444.64,21.270646766169154
v1.3,KWS,OTHER,37.6695,2,Cortex-M,664.424,3,626.7545,17.638248450337805
v1.3,VWW,OTHER,84.4375,2,Cortex-M,1372.17,3,1287.7325,16.250717986676538
