round,task,best_factor,latency_us_best_median,latency_us_best_n,worst_factor,latency_us_worst_median,latency_us_worst_n,latency_us_delta_worst_minus_best,latency_us_ratio_worst_over_best
v0.5,AD,OTHER,192.092,3,Cortex-M,10400.0,1,10207.908,54.140724236303434
v0.5,IC,OTHER,1312.35,3,Cortex-M,704225.0,1,702912.65,536.613708233322
v0.5,KWS,OTHER,421.47,3,Cortex-M,93933.5,2,93512.03,222.87114148100693
v0.5,VWW,OTHER,3745.4700000000003,3,Cortex-M,603136.0,1,599390.53,161.03079186323745
v0.7,AD,Cortex-M,5569.0,8,OTHER,10341.865,4,4772.865,1.8570416591847727
v0.7,IC,Cortex-M,193700.0,8,OTHER,289352.0,3,95652.0,1.49381517811048
v0.7,KWS,Cortex-M,58951.0,8,OTHER,68310.0,5,9359.0,1.1587589693134976
v0.7,VWW,Cortex-M,174277.0,8,OTHER,248509.0,3,74232.0,1.4259426086058402
v1.0,AD,OTHER,98.0,1,Cortex-M,5600.0,11,5502.0,57.142857142857146
v1.0,IC,RISC-V,782.5,2,Cortex-M,173200.0,11,172417.5,221.34185303514377
v1.0,KWS,RISC-V,603.5,2,Cortex-M,61400.0,11,60796.5,101.73985086992543
v1.0,VWW,RISC-V,1429.0,2,Cortex-M,192500.0,11,191071.0,134.70958712386283
v1.1,AD,Cortex-M,4849.87,23,Cortex-M,4849.87,23,0.0,1.0
v1.1,IC,Cortex-A,411.28,3,Cortex-M,179019.0,25,178607.72,435.272806846917
v1.1,KWS,Cortex-A,2151.05,3,Cortex-M,54062.8,25,51911.75,25.133214011761698
v1.1,VWW,RISC-V,370.0,1,Cortex-M,108295.0,23,107925.0,292.68918918918916
v1.2,AD,RISC-V,370.0,1,OTHER,4830.0,18,4460.0,13.054054054054054
v1.2,IC,RISC-V,70685.0,2,OTHER,120540.0,15,49855.0,1.705312301053972
v1.2,KWS,OTHER,18960.0,11,Cortex-M,29060.0,3,10100.0,1.5327004219409284
v1.2,VWW,Cortex-M,59280.0,3,OTHER,69335.0,12,10055.0,1.1696187584345479
v1.3,AD,OTHER,68.3762,1,Cortex-M,4793.68,3,4725.303800000001,70.10743504318755
v1.3,IC,RISC-V,1630.0205,2,Cortex-M,137583.0,4,135952.9795,84.40568692234238
v1.3,KWS,RISC-V,985.2995000000001,2,Cortex-M,36206.350000000006,4,35221.050500000005,36.74654254873772
v1.3,VWW,RISC-V,2183.08,3,Cortex-M,74351.85,4,72168.77,34.05823423786577
