round,task,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,6,336.55899999999997,99.141,195.442,410.66499999999996,434.326,45.722,437.442,215.22299999999996,False
v0.7,IC,6,11749.25,3199.575,5913.3975,13837.75,16037.349999999999,2248.02,17723.8,7924.3525,False
v0.7,KWS,8,2597.795,45.2967,471.01650000000006,3953.3900000000003,4486.58,35.286,4635.68,3482.3735,False
v0.7,VWW,6,11169.75,2876.37,5645.1525,12182.925,12804.849999999999,1721.77,13316.4,6537.772499999999,False
v1.0,AD,8,192.7995,6.6814,37.29775,353.02875,500.349,5.252,633.734,315.731,False
v1.0,IC,10,2438.325,39.0915,111.215,10188.02,20346.899999999998,27.711,21342.3,10076.805,False
v1.0,KWS,10,770.1955,25.8492,34.605,3209.25,5502.294,18.561,7950.51,3174.645,False
v1.0,VWW,10,2251.84,56.600500000000004,78.07249999999999,9544.567500000001,15691.419999999998,40.801,17131.6,9466.495,False
v1.1,AD,8,314.224,191.28570000000002,232.15425000000002,439.5,529.02,121.446,529.3,207.34574999999998,False
v1.1,IC,11,7615.4,139.367,4847.255,13805.8,17315.1,101.833,17755.4,8958.544999999998,False
v1.1,KWS,11,2367.47,43.802,1436.8000000000002,4101.375,5481.6,31.537,5627.5,2664.575,False
v1.1,VWW,11,6928.3,97.164,2809.995,9111.75,16536.3,71.711,16573.1,6301.755,False
v1.2,AD,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True
v1.2,IC,5,2578.97,116.846,139.37,5090.28,6187.74,101.83,6919.38,4950.91,False
v1.2,KWS,5,656.16,36.444,43.8,1375.6,1642.51,31.54,1820.45,1331.8,False
v1.2,VWW,5,1354.69,81.89,97.16,2965.46,3522.9260000000004,71.71,3894.57,2868.3,False
v1.3,AD,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True
v1.3,IC,5,965.582,116.8466,139.367,2565.24,4323.642,101.833,5495.91,2425.8729999999996,False
v1.3,KWS,5,245.341,36.443,43.802,664.424,1124.1716000000001,31.537,1430.67,620.622,False
v1.3,VWW,5,518.976,81.8922,97.164,1372.17,2366.7180000000003,71.711,3029.75,1275.006,False
